54160,45,28,40,24,36,23
838682,27,36,28,19,41,37
156424,0,7,35,22,9,5
353826,1,9,23,2,40,6
413891,16,28,27,24,5,39
832054,15,14,3,7,29,44
70227,31,15,43,17,20,10
890490,45,3,38,33,29,23
843436,21,26,35,0,29,27
591828,24,43,34,28,37,12
255948,27,36,23,41,7,17
489256,37,43,33,40,31,13
352417,5,43,8,45,31,44
473399,41,17,16,15,5,30
542195,43,11,4,21,44,28
973960,27,44,16,43,25,21
867240,6,17,9,22,11,37
182188,42,19,14,28,2,7
836883,15,16,2,35,43,27
930044,7,18,43,8,26,24
958449,11,28,25,38,8,32
303056,27,43,13,38,9,30
366191,24,1,19,44,37,26
723692,26,36,4,1,3,22
19751,17,29,7,34,36,24
603612,3,5,29,26,33,13
846938,3,10,41,30,24,25
473680,8,39,24,30,27,33
404695,11,27,42,9,5,8
302339,22,27,10,3,18,7
873662,21,2,8,0,3,36
615638,0,6,17,30,13,26
612145,0,27,35,10,1,2
691844,7,6,34,40,39,5
422515,18,38,41,11,13,37
58915,11,44,30,21,10,31
96278,5,38,42,12,45,10
609982,1,27,38,33,5,3
770306,35,10,44,23,32,17
356474,15,23,5,13,39,34
402815,20,36,24,16,8,18
567503,38,22,40,21,11,29
371028,16,45,22,43,35,4
798359,43,7,13,38,16,14
697935,26,37,4,13,38,0
480735,14,38,43,20,5,39
323769,9,11,19,28,43,1
444262,43,45,4,11,36,38
734666,40,7,27,0,10,43
312215,30,11,13,25,27,24
53911,28,5,30,3,19,15
273810,9,31,6,2,32,24
644316,5,25,42,21,37,44
571386,20,16,25,45,28,14
471346,27,4,39,14,10,23
552956,14,39,17,42,20,10
945008,5,34,9,43,24,27
772423,44,29,25,11,36,15
865335,43,29,36,24,11,38
684520,1,19,10,6,36,14
222855,1,27,6,9,35,3
50513,42,11,26,23,31,28
209958,35,45,11,14,21,17
493206,18,12,22,5,41,30
517273,6,38,40,1,17,10
972043,44,9,28,41,11,31
346711,35,8,23,36,14,43
51761,38,8,40,16,29,44
135456,35,38,30,39,7,0
117044,5,21,8,28,33,34
172389,29,24,5,21,14,43
601806,10,19,43,17,20,40
213086,13,45,37,9,7,31
3493,0,13,3,40,22,5
597616,36,19,3,14,22,4
130860,11,12,3,0,30,34
921696,36,3,26,9,22,28
349647,16,27,17,23,29,7
456374,7,3,23,34,35,29
663391,8,45,7,33,10,31
600443,33,27,32,36,40,31
657578,2,41,7,37,10,11
807450,0,43,16,12,13,32
884432,32,28,7,25,44,13
905261,23,26,15,9,19,35
93484,9,24,21,45,28,0
148752,2,36,7,18,14,21
49821,1,7,36,39,22,34
195102,22,28,15,24,17,36
803591,40,36,38,3,23,7
158548,19,13,44,45,35,8
1342,5,42,40,22,10,3
201610,6,10,13,30,45,28
370214,0,36,23,13,9,32
489636,42,19,18,7,20,23
744352,3,25,0,15,20,43
564615,22,31,4,9,27,26
834365,26,22,28,1,43,33
666885,16,3,19,22,15,4
360161,32,29,8,20,5,43
722081,30,6,11,41,39,1
130278,31,36,25,12,0,14
130334,39,34,30,23,2,1
61046,41,21,6,28,31,25
401118,4,41,7,34,0,13
748407,29,4,32,37,22,10
604582,42,15,23,5,4,33
540530,7,14,37,11,1,40
449624,2,3,20,45,41,6
542353,43,33,25,3,45,6
