25701,21,23,27,17,26,8
386296,39,41,32,4,17,19
942811,12,30,23,34,27,14
916623,20,32,23,0,5,13
464930,9,28,33,8,32,12
245615,32,34,3,26,13,33
355624,13,41,38,35,26,39
91563,1,10,5,17,25,37
667270,18,16,27,38,1,12
453605,7,43,42,22,29,39
473062,15,10,4,18,17,1
522643,17,3,22,39,45,33
226864,34,10,14,8,30,19
202221,22,11,14,16,5,31
79168,6,24,8,7,21,37
161441,34,24,6,31,18,7
374909,21,41,37,6,13,17
952289,30,6,32,40,41,19
321572,31,1,10,45,3,41
494960,26,12,32,18,25,3
664468,45,17,36,4,19,30
284661,32,25,39,45,34,27
628073,23,3,17,16,38,34
731975,34,31,36,24,35,26
774945,28,39,44,33,31,34
358391,41,27,1,35,5,10
954542,9,10,11,32,38,7
431351,23,13,45,17,37,28
542585,18,24,44,5,27,37
831507,28,38,22,27,24,11
782272,45,30,28,11,29,0
212976,24,35,2,5,25,6
9590,23,45,29,31,12,14
64447,15,13,37,11,27,26
572180,17,12,14,25,2,38
694758,31,42,43,39,11,24
720762,40,38,33,10,37,18
456187,18,44,20,7,21,42
994212,45,16,14,39,15,37
843778,6,37,0,4,21,25
243398,3,38,34,35,26,37
504859,34,18,45,40,3,19
698013,13,29,8,39,9,41
659607,7,3,1,41,44,32
319748,7,31,26,14,24,1
79885,16,40,38,20,42,44
109567,9,29,22,26,45,24
142022,32,44,26,31,28,17
921213,0,17,25,3,40,4
348484,0,18,33,21,22,27
581704,11,13,0,2,34,30
168117,5,8,34,1,37,27
776477,25,16,28,36,41,32
941080,42,33,41,17,30,26
497072,36,16,26,4,12,44
939200,14,30,21,41,33,2
667073,4,17,25,16,33,11
314062,39,26,0,7,27,12
750779,33,38,25,11,30,23
32052,9,16,0,5,8,22
860043,22,25,18,35,14,38
179877,26,31,33,10,9,42
601817,14,36,12,5,38,33
837070,8,45,17,43,23,30
11972,4,15,34,23,43,7
334071,6,1,27,2,9,4
305645,20,13,24,9,44,21
614483,29,10,41,19,17,33
640565,17,30,21,27,0,3
756250,38,17,27,15,19,26
858867,29,35,6,18,12,7
417477,31,21,37,28,17,6
755448,27,18,21,41,32,3
927673,36,44,22,39,31,38
695758,32,27,44,37,19,30
361788,8,32,42,4,20,14
975280,23,1,39,32,2,18
90998,37,32,14,20,44,19
523315,13,20,39,40,36,44
411524,5,44,40,24,18,35
232537,18,40,23,8,27,32
111011,36,23,24,38,35,17
329731,33,19,16,29,6,20
820118,35,41,6,2,24,28
